Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary,,,,
89,99,100,0,7,10,7,5,21,21,0,4,0,0,4300,4320,4300,4320,10500,91,0,59 63 64 00 45 45 68 00 00 04 00 57 D7 D8 A7 D7 D8 04 29 5B 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
88,96,100,0,7,10,7,5,22,22,0,4,0,0,4320,4320,4240,4260,10500,453,0,58 60 64 00 46 46 70 00 00 04 00 57 D4 D5 A7 D8 D8 04 29 C5 01 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
87,96,96,0,7,8,7,5,21,21,0,4,0,0,4260,4280,4260,4280,10121,16,0,57 60 60 00 45 45 59 00 00 04 00 57 D5 D6 87 D5 D6 89 27 10 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
86,96,99,0,7,5,7,5,23,25,50,4,0,0,4240,4280,4280,4300,10106,2,288,56 60 63 00 47 49 71 32 00 04 00 57 D6 D7 57 D4 D6 7A 27 02 00 00 12 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
85,99,100,0,7,5,7,5,23,23,50,4,0,0,4280,4300,4300,4320,10398,0,96,55 63 64 00 47 47 4D 32 00 04 00 57 D7 D8 57 D6 D7 9E 28 00 00 00 06 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
84,95,100,0,11,10,9,0,23,24,0,4,0,0,4320,4340,4140,4180,10500,2344,0,54 5F 64 00 47 48 74 00 00 04 00 09 CF D1 AB D8 D9 04 29 28 09 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
83,95,95,0,11,10,11,8,25,26,0,4,0,0,4180,4200,4220,4320,10031,11,0,53 5F 5F 00 49 4A 73 00 00 04 00 8B D3 D8 AB D1 D2 2F 27 0B 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
82,65,95,0,11,8,7,10,22,26,0,4,0,1,4220,4320,3900,3920,10021,3153,0,52 41 5F 00 46 4A 73 00 00 04 80 A7 C3 C4 8B D3 D8 25 27 51 0C 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
81,98,100,0,11,10,9,10,21,22,0,4,0,0,4320,4340,4300,4320,10500,212,0,51 62 64 00 45 46 73 00 00 04 00 A9 D7 D8 AB D8 D9 04 29 D4 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
80,94,98,0,9,10,9,5,18,20,0,4,0,0,4320,4340,4260,4320,10343,443,0,50 5E 62 00 42 44 74 00 00 04 00 59 D5 D8 A9 D8 D9 67 28 BB 01 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
