Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary
47,64,65,0,11,10,11,10,23,23,5,4,0,0,3920,3980,3940,3980,6769,0,48,2F 40 41 00 47 47 55 05 00 04 00 AB C5 C7 AB C4 C7 71 1A 00 00 00 03 00 00 00 00 80 0C F0 03 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EE C9 67 42 00 00 00 00 00 00 00 00 00
46,65,68,0,11,10,11,10,25,26,11,4,0,0,3920,3960,3980,4020,6827,1,384,2E 41 44 00 49 4A 5B 0B 00 04 00 AB C7 C9 AB C4 C6 AB 1A 01 00 00 18 00 01 00 00 C0 03 A2 20 E2 06 0C AB A3 00 03 26 00 00 00 00 00 00 00 00 00 00 00 00 50 2C C3 43 00 00 00 00 00 00 00 00 00
45,68,69,0,11,10,11,10,25,25,11,4,0,0,3980,4000,3980,4020,7218,0,96,2D 44 45 00 49 49 57 0B 00 04 00 AB C7 C9 AB C7 C8 32 1C 00 00 00 06 00 00 00 00 E3 01 04 A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 A6 BF 42 00 00 00 00 00 00 00 00 00
44,69,69,0,11,10,11,10,24,24,0,4,0,0,3980,4020,3980,4020,7314,0,0,2C 45 45 00 48 48 54 00 00 04 00 AB C7 C9 AB C7 C9 92 1C 00 00 00 00 00 01 00 00 C0 6C E1 13 E0 09 F2 9A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 3E A4 40 00 00 00 00 00 00 00 00 00
43,69,70,0,11,10,11,10,26,26,5,4,0,0,3980,4020,4000,4040,7320,0,48,2B 45 46 00 4A 4A 57 05 00 04 00 AB C8 CA AB C7 C9 98 1C 00 00 00 03 00 00 00 00 C0 01 F9 42 E1 0C 15 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 10 5E 42 00 00 00 00 00 00 00 00 00
42,70,70,0,11,10,11,10,26,26,2,4,0,0,4000,4020,4000,4040,7376,0,64,2A 46 46 00 4A 4A 5C 02 00 04 00 AB C8 CA AB C8 C9 D0 1C 00 00 00 04 00 00 00 00 E1 12 1F AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7 51 96 42 00 00 00 00 00 00 00 00 00
41,70,71,0,11,10,11,10,23,24,4,4,0,0,4000,4040,4000,4040,7452,0,64,29 46 47 00 47 48 57 04 00 04 00 AB C8 CA AB C8 CA 1C 1D 00 00 00 04 00 00 00 00 C0 02 EF 30 E1 0B 15 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 85 48 9D 42 00 00 00 00 00 00 00 00 00
40,71,72,0,11,10,11,10,22,23,5,4,0,0,4000,4040,4020,4060,7531,0,96,28 47 48 00 46 47 57 05 00 04 00 AB C9 CB AB C8 CA 6B 1D 00 00 00 06 00 00 00 00 C0 0B FE 21 E2 08 0F AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0D E9 D6 42 00 00 00 00 00 00 00 00 00
39,72,100,0,11,10,11,10,24,30,23,4,0,0,4000,4040,4300,4340,7639,3,2848,27 48 64 00 48 4E 58 17 00 04 00 AB D7 D9 AB C8 CA D7 1D 03 00 00 B2 00 00 00 00 E3 01 05 62 00 00 00 00 00 00 00 00 00 00 00 00 C2 11 49 40 00 00 00 00 44 91 32 45 00 00 00 00 00 00 00 00 00
38,99,100,0,11,10,7,10,22,23,0,4,0,0,4300,4340,3940,4560,10500,375,0,26 63 64 00 46 47 7A 00 00 04 00 A7 C5 E4 AB D7 D9 04 29 77 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 BA 43 00 00 00 00 00 C2 BA C3 00 00 00 00 00 00 00 00 00
